1,0,0,0,0,0,1,2,2,1,0,2,1,0,0,-0.057401,28
0,0,0,1,0,0,1,0,3,2,1,1,0,1,0,-0.988137,47
0,0,0,0,1,2,0,3,0,1,1,0,0,2,0,-1.535036,9
0,0,0,0,1,0,4,2,0,0,2,1,0,0,0,-1.370527,15
0,0,0,0,1,4,1,0,1,0,0,1,1,1,0,-1.548438,19
0,0,1,0,0,2,2,0,1,1,1,1,1,0,0,-0.461008,0
0,0,0,0,1,0,2,1,0,3,0,0,3,0,0,-0.981794,16
0,1,0,0,0,0,2,0,4,0,0,0,0,2,1,-0.179137,13
0,1,0,0,0,2,1,0,2,1,0,0,1,0,2,-0.166445,12
0,1,0,0,0,0,2,3,0,1,0,0,0,1,2,-0.173118,11
0,0,0,0,1,3,1,0,1,1,0,1,2,0,0,-1.296981,14
1,0,0,0,0,1,1,1,2,1,2,0,0,0,1,-0.121423,10
0,0,1,0,0,1,1,2,1,1,0,0,2,1,0,-0.468093,17
0,0,0,0,1,2,0,2,0,2,0,0,1,1,1,-1.601246,39
1,0,0,0,0,1,2,1,0,2,0,0,0,2,1,-0.067343,29
0,0,0,1,0,1,1,2,1,1,1,1,0,0,1,-1.066476,18
0,1,0,0,0,0,0,1,2,3,2,0,0,0,1,-0.008887,38
1,0,0,0,0,3,0,0,1,2,0,0,0,2,1,-0.005548,1
0,0,1,0,0,0,0,3,0,3,2,0,0,1,0,-0.314061,23
0,0,0,0,1,1,2,0,1,2,0,1,1,0,1,-1.447202,49
0,0,0,1,0,1,1,1,0,3,0,0,2,0,1,-0.849299,24
1,0,0,0,0,3,0,2,0,1,0,0,1,1,1,-0.048778,20
0,0,0,1,0,0,1,2,2,1,0,0,2,0,1,-1.064568,21
1,0,0,0,0,2,2,1,1,0,1,0,0,0,2,-0.128951,22
1,0,0,0,0,0,2,1,1,2,0,1,1,0,1,-0.074881,25
0,0,1,0,0,0,1,3,2,0,0,0,1,1,1,-0.457191,27
0,1,0,0,0,0,0,1,2,3,0,0,0,3,0,-0.043260,48
0,0,0,1,0,0,1,3,1,1,1,0,1,0,1,-1.056267,26
1,0,0,0,0,2,0,2,1,1,0,1,1,0,1,-0.001154,30
0,0,0,0,1,0,0,0,2,4,1,0,2,0,0,-1.122364,2
0,0,0,0,1,1,3,2,0,0,0,1,0,1,1,-1.628891,33
0,0,0,0,1,1,1,0,2,2,0,1,0,0,2,-1.556457,31
0,1,0,0,0,1,0,1,1,3,0,2,0,0,1,-0.123821,32
0,0,0,1,0,2,1,1,1,1,1,0,2,0,0,-0.853805,34
0,1,0,0,0,1,1,2,2,0,0,0,0,3,0,-0.128518,36
0,0,0,1,0,2,2,0,2,0,1,0,0,2,0,-1.160268,37
1,0,0,0,0,3,1,0,2,0,1,1,1,0,0,-0.068719,35
0,0,0,1,0,3,0,1,1,1,0,1,1,0,1,-1.100399,41
0,0,0,0,1,0,1,2,1,2,0,0,2,1,0,-1.293232,42
1,0,0,0,0,3,0,2,1,0,1,2,0,0,0,-0.090360,40
1,0,0,0,0,1,1,1,2,1,1,0,0,1,1,-0.105100,3
0,0,1,0,0,1,1,0,3,1,1,1,0,1,0,-0.489326,46
1,0,0,0,0,0,2,2,1,1,1,1,0,0,1,-0.059388,44
0,0,0,0,1,3,1,0,2,0,1,0,0,1,1,-1.669806,45
0,0,1,0,0,2,0,0,2,2,0,2,0,1,0,-0.490070,5
0,0,0,0,1,1,3,0,1,1,0,2,0,0,1,-1.463945,43
0,0,0,1,0,3,0,1,2,0,0,1,2,0,0,-1.045707,4
0,0,0,0,1,1,1,1,1,2,1,1,0,0,1,-1.550770,8
1,0,0,0,0,1,1,1,1,2,0,0,2,0,1,-0.055274,6
0,1,0,0,0,2,1,0,2,1,0,1,1,0,1,-0.095545,7
